,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
bdi-miR7717a-5p,0.224,-7.699,0.006,0.068,0.003,0.19,0.048,-1.566,0.018,-0.497,-0.36,0.098,-0.456,-0.001,0.141,0.184,5.346,0.007,0.125,0.008,0.177,1.403,-0.083,6.132,0.002,-0.019,-0.005,-0.15,-0.15,-0.539,0.119,-0.707,-1.087,-0.298,0.826,-0.004,0.048,0.027,10.71,-0.005,0.039,-0.003,0.014,1.482,-0.055,-4.714,0.001,-0.02,-0.003,-0.105,-0.208,-1.454,0.077,-0.579,-0.523,-0.271,-0.241,0.006,-0.055,0.067,16.458,-0.005,0.044,0.014,0.015,2.402
ath-miR5015,0.061,-2.684,0.0,0.036,0.005,0.133,-0.102,-2.937,-0.033,-0.144,0.045,0.0,-0.195,-0.001,0.127,0.043,-0.008,0.006,0.039,-0.003,0.05,0.176,-0.047,0.388,0.0,0.038,-0.002,0.02,-0.085,1.177,-0.111,0.664,0.302,-0.108,0.163,0.008,0.003,0.037,5.066,-0.003,0.01,0.011,-0.018,0.808,-0.05,10.687,-0.005,0.04,-0.006,0.062,0.136,0.111,-0.056,3.83,0.502,-0.056,1.421,-0.006,0.019,0.002,5.458,-0.009,-0.001,0.015,-0.05,0.741
bdi-miR7764-5p,0.111,-12.856,-0.001,0.136,0.005,0.154,0.062,-1.249,0.08,-0.056,0.171,0.056,-1.624,-0.001,0.062,0.03,1.582,0.008,0.004,-0.003,0.056,0.294,-0.02,-4.345,-0.002,-0.15,-0.007,-0.137,-0.007,0.089,-0.084,-0.882,-0.145,-0.078,-1.287,-0.023,-0.052,-0.204,-16.91,-0.011,-0.175,-0.019,-0.176,-2.914,-0.042,-0.18,-0.002,-0.222,-0.01,-0.278,0.042,-0.736,-0.068,-3.417,-0.873,-0.042,-0.015,-0.018,-0.056,-0.024,-10.354,-0.015,-0.014,-0.007,-0.062,-1.218
bdi-miR166i-5p,0.102,-3.613,0.001,0.249,0.003,0.155,0.053,-2.668,0.004,-0.488,-1.074,0.139,0.369,0.002,0.072,0.193,1.061,0.007,0.175,0.005,0.147,0.779,-0.003,15.854,0.0,-0.041,0.001,-0.111,0.058,0.395,0.034,3.342,0.002,0.091,2.201,-0.007,-0.155,0.056,5.662,0.003,0.048,0.01,0.029,0.904,-0.05,-17.489,0.006,-0.189,-0.001,-0.291,0.062,-0.455,-0.051,0.91,0.297,0.037,-2.334,-0.037,-0.105,-0.007,-3.22,0.0,-0.052,-0.008,-0.006,-0.359
tae-miR1118,0.032,9.609,0.0,0.098,0.0,0.238,0.095,-0.061,-0.088,-0.333,0.308,0.154,2.258,0.001,0.397,0.272,5.633,0.0,0.234,0.013,0.218,1.755,-0.183,-19.115,-0.002,0.064,0.0,0.114,-0.25,-2.19,-0.11,-0.483,1.691,-0.038,-3.146,-0.013,0.067,-0.221,-7.252,-0.002,-0.178,-0.02,-0.129,-1.7,-0.035,-23.52,0.0,0.08,0.002,0.015,-0.108,-1.447,-0.034,-0.825,4.391,-0.015,-4.028,-0.027,0.018,-0.313,-16.996,0.001,-0.24,-0.042,-0.143,-3.683
ptc-miR1447,0.172,-7.188,0.001,0.147,0.007,0.211,0.044,-0.972,-0.225,-0.31,-0.449,0.183,-0.26,-0.001,0.039,0.231,0.613,0.011,0.157,-0.001,0.194,0.804,-0.012,-0.418,0.001,-0.067,0.0,-0.05,-0.12,0.57,0.105,-2.909,-0.943,-0.251,-0.447,-0.007,-0.096,-0.02,-5.677,0.002,-0.053,0.0,-0.023,-0.7,-0.04,-15.826,-0.003,-0.13,-0.001,-0.164,-0.077,0.239,-0.279,-3.146,-0.771,-0.149,-2.249,-0.034,-0.071,-0.029,-10.659,0.001,-0.053,-0.013,-0.031,-1.295
ppt-miR537b,0.094,-7.382,0.0,0.058,0.008,0.316,0.141,-2.099,0.012,-0.41,-0.44,0.285,-0.553,0.0,0.233,0.128,2.656,0.01,0.088,-0.001,0.102,0.795,-0.012,1.785,-0.003,-0.05,0.001,0.108,0.047,1.463,-0.228,2.181,0.19,0.064,-0.171,-0.012,0.058,-0.09,-9.082,-0.002,-0.099,-0.003,-0.061,-1.547,-0.053,1.697,0.0,0.065,-0.004,-0.009,0.0,-0.528,0.015,-3.78,-2.774,0.009,-0.088,-0.008,-0.019,-0.137,-10.843,-0.007,-0.099,0.004,-0.068,-1.986
ghr-miR7493,0.211,3.423,0.007,0.074,0.006,0.112,0.136,-0.897,-0.103,-0.304,-0.164,0.128,1.032,-0.001,0.037,0.193,4.231,0.008,0.157,0.008,0.202,1.364,-0.076,-6.234,0.003,-0.017,-0.006,-0.128,-0.143,-1.773,0.092,-0.961,0.278,-0.108,-0.84,-0.022,-0.009,0.008,-3.511,-0.009,0.013,-0.016,0.069,-0.365,-0.091,-10.489,0.002,0.082,-0.008,-0.041,-0.1,1.464,0.227,-1.064,0.699,0.032,-1.538,-0.025,-0.009,-0.024,-7.466,-0.01,-0.036,-0.017,0.073,-1.16
osa-miR2920,0.17,0.288,0.001,0.045,0.008,0.17,0.297,-1.03,-0.083,-0.041,0.241,0.297,0.232,-0.001,0.0,0.026,-2.442,0.009,0.03,-0.001,0.045,-0.147,-0.057,-4.059,-0.006,-0.102,0.003,-0.057,0.062,-0.329,-0.376,0.943,0.505,0.062,-0.922,0.003,0.0,-0.149,-5.371,0.003,-0.098,0.001,-0.102,-1.31,-0.053,-5.411,0.0,-0.035,-0.001,-0.053,-0.145,0.642,-0.021,2.008,0.433,-0.145,-0.864,0.022,0.0,-0.039,3.073,-0.001,-0.033,0.001,-0.035,0.22
gma-miR9758,0.119,0.036,-0.001,0.061,0.005,0.152,0.205,-0.989,0.193,-0.407,-0.043,0.247,0.305,-0.001,0.033,0.112,8.067,0.005,0.078,0.001,0.075,1.504,-0.208,-11.489,-0.002,-0.047,-0.007,-0.234,-0.105,-1.398,0.025,-0.494,-1.29,-0.079,-1.878,-0.008,-0.164,-0.176,1.204,-0.008,-0.157,-0.005,-0.108,-0.504,-0.161,6.199,-0.002,0.009,-0.007,-0.189,-0.217,-2.098,-0.011,-0.093,-0.851,-0.155,1.308,-0.006,-0.115,0.09,13.991,-0.008,0.063,0.008,0.003,2.189
ppt-miR900-5p,0.133,-9.967,-0.001,0.233,0.007,0.26,0.18,-2.599,-0.114,-0.247,0.259,0.036,-1.29,0.0,0.161,0.048,-1.796,0.011,0.0,0.005,0.053,-0.087,0.029,5.601,0.001,0.038,0.004,-0.003,-0.032,2.093,-0.122,2.284,-0.629,-0.018,0.553,-0.011,-0.108,-0.049,-2.007,0.007,-0.047,0.002,-0.056,-0.447,0.09,12.602,0.0,-0.121,0.0,-0.18,-0.152,-1.67,0.205,3.111,-0.345,-0.019,2.329,0.014,-0.173,0.242,11.919,0.001,0.208,0.014,0.176,2.432
bra-miR5711,0.036,-0.797,-0.001,0.163,0.006,0.233,0.244,-0.122,0.059,-0.371,0.09,0.368,0.619,0.002,0.296,0.275,7.478,0.004,0.186,0.02,0.252,1.926,-0.018,8.307,-0.003,0.006,-0.001,-0.05,0.249,-3.054,-0.188,7.205,-1.89,0.167,0.889,-0.011,0.067,-0.121,-6.652,-0.005,-0.07,-0.035,-0.129,-1.337,0.04,-4.787,-0.003,0.065,-0.003,-0.053,0.254,-3.562,-0.056,6.13,0.64,0.059,-1.545,-0.031,-0.046,-0.331,-12.331,-0.003,-0.217,-0.069,-0.254,-2.948
mtr-miR5238,0.399,6.025,0.002,0.061,0.002,0.094,0.277,-0.471,0.093,-0.019,0.028,0.089,1.905,0.002,0.277,0.403,13.985,0.005,0.298,0.011,0.285,3.228,0.088,-8.275,-0.003,-0.047,0.0,0.023,0.018,-0.226,-0.143,0.728,-0.868,0.047,-1.147,0.022,0.044,-0.01,-5.726,0.001,-0.008,-0.003,0.009,-0.832,0.04,-27.007,-0.001,-0.05,-0.001,0.062,-0.068,-0.134,0.014,-6.084,-2.859,0.0,-4.606,0.021,-0.071,-0.286,-21.826,-0.003,-0.265,-0.007,-0.108,-3.985
sly-miR9474-3p,0.15,-8.218,-0.001,0.09,0.009,0.185,0.248,-1.814,0.029,-1.005,0.177,0.325,-0.757,0.0,0.06,0.109,1.055,0.009,0.051,0.004,0.15,0.504,0.105,9.508,-0.004,-0.011,0.006,-0.016,0.15,-0.507,-0.009,2.011,0.159,0.158,1.19,-0.012,-0.095,-0.01,2.07,0.009,0.003,-0.007,-0.053,0.251,0.056,7.779,0.005,-0.011,0.006,-0.017,0.208,0.189,0.139,2.861,0.395,0.194,1.209,0.012,0.011,-0.029,2.607,0.007,0.042,-0.002,0.0,0.256
aly-miR3441-3p.2,0.114,-7.467,0.002,-0.05,0.009,0.199,0.105,-1.001,-0.054,-0.687,0.011,0.247,-0.921,-0.001,0.061,-0.004,-1.801,0.009,-0.007,0.0,0.019,-0.248,-0.026,-18.949,-0.001,-0.132,0.002,0.02,-0.111,-0.272,-0.075,-6.813,-2.218,0.038,-3.538,0.004,-0.047,-0.367,-24.69,0.001,-0.303,-0.004,-0.213,-4.671,0.09,-13.331,0.002,0.13,0.003,0.056,0.118,0.909,-0.054,-5.913,-2.411,0.099,-2.592,0.036,-0.037,-0.17,-19.832,0.006,-0.176,0.013,-0.015,-3.415
bna-miR6036,-0.031,-7.046,-0.004,0.066,0.001,0.043,-0.103,-2.288,-0.007,-0.326,-0.232,-0.041,-0.935,-0.001,0.05,-0.044,-3.226,-0.001,-0.053,-0.003,-0.041,-0.602,-0.052,-12.128,0.001,-0.121,-0.004,-0.052,-0.16,0.07,0.058,-0.329,0.099,-0.199,-2.247,-0.018,-0.139,-0.245,-12.627,-0.006,-0.215,-0.014,-0.186,-2.511,0.125,3.096,-0.004,-0.077,0.0,0.041,0.082,0.238,0.145,-2.955,0.168,0.091,0.515,-0.024,-0.077,0.172,1.451,0.003,0.122,-0.01,0.189,0.893
gma-miR10410a,0.227,-3.597,0.003,0.112,0.008,0.151,0.287,-1.788,0.05,-0.5,0.015,0.188,-0.178,-0.001,0.05,0.108,4.239,0.01,0.074,0.005,0.112,0.986,0.095,3.85,-0.003,-0.074,0.004,-0.032,0.05,0.196,0.089,0.31,0.461,-0.119,0.345,0.004,0.004,-0.034,3.614,0.007,-0.05,0.004,-0.121,0.41,0.0,7.706,0.0,0.0,0.007,0.066,-0.005,-0.504,-0.03,0.375,-0.802,-0.041,1.535,0.001,0.105,0.082,19.506,0.009,0.102,0.008,0.014,2.863
osa-miR5526,0.127,-8.135,-0.001,0.042,0.002,0.144,0.094,-2.462,0.106,-0.155,0.207,0.086,-0.597,-0.001,0.102,0.117,3.76,0.003,0.083,0.0,0.089,0.963,-0.173,-20.766,-0.002,-0.012,-0.002,-0.184,-0.234,0.479,0.006,-0.939,-0.764,-0.076,-3.443,-0.022,-0.281,-0.239,-16.122,-0.004,-0.24,-0.024,-0.184,-3.014,-0.08,-12.556,0.0,-0.012,-0.002,-0.198,-0.307,-1.827,-0.029,-0.604,-0.715,-0.139,-2.136,0.012,-0.254,-0.191,-9.672,-0.004,-0.154,-0.013,-0.146,-1.839
bra-miR9564-5p,0.302,-9.017,0.003,0.066,0.004,0.124,0.339,-1.631,0.102,-0.961,-0.312,0.157,-0.793,0.002,0.14,0.212,7.687,0.008,0.12,0.017,0.219,1.75,0.21,4.227,-0.004,-0.048,-0.002,-0.149,0.117,1.44,-0.124,-1.1,0.517,-0.074,0.572,0.002,-0.091,0.05,1.6,0.0,0.032,0.004,-0.013,0.493,0.198,-21.025,-0.009,-0.05,0.001,-0.093,-0.027,-0.718,-0.112,-3.002,2.594,-0.077,-3.763,-0.014,-0.095,-0.225,-15.928,0.003,-0.208,-0.024,-0.114,-3.014
gma-miR5784,0.127,-3.993,-0.001,0.061,-0.001,-0.003,0.105,-0.644,-0.088,-1.543,-0.637,0.036,0.097,-0.001,0.139,0.276,8.524,0.0,0.197,0.001,0.233,2.088,-0.275,0.047,0.002,-0.047,-0.012,-0.444,-0.111,-3.975,-0.062,0.444,-0.061,-0.31,-0.577,-0.004,-0.132,-0.236,-9.505,-0.018,-0.221,-0.008,-0.254,-2.041,-0.115,-9.765,-0.003,-0.05,-0.001,0.118,-0.118,-0.127,0.035,1.814,-1.509,-0.065,-2.336,-0.015,-0.139,-0.493,-17.504,-0.003,-0.377,-0.011,-0.387,-4.125
pgi-miR6136a.2,0.186,-6.347,0.002,0.041,0.0,0.066,0.215,-1.381,0.059,-0.14,1.094,0.079,0.211,0.0,0.31,0.344,8.641,0.001,0.268,0.011,0.364,2.258,0.004,3.027,-0.001,0.0,-0.001,-0.095,-0.056,-0.939,-0.081,-1.145,-1.644,-0.108,0.713,0.0,-0.013,0.102,4.934,-0.002,0.088,0.006,0.095,0.939,0.055,-3.449,0.003,0.0,0.0,0.005,-0.2,-0.431,-0.149,-2.148,-2.465,-0.114,-0.722,0.006,-0.173,-0.072,-1.93,0.001,-0.076,0.006,-0.1,-0.42
mtr-miR2643a,0.208,-7.318,0.0,0.042,0.007,0.341,0.205,1.034,0.114,-0.147,0.308,0.305,0.074,0.0,0.266,0.301,10.657,0.009,0.208,0.011,0.233,2.4,0.053,18.591,0.001,-0.012,-0.001,-0.196,0.099,-0.094,0.01,2.681,-0.122,-0.058,2.284,-0.007,-0.053,-0.031,0.858,-0.001,0.012,0.003,-0.032,0.1,0.056,-20.92,0.001,-0.012,-0.003,-0.483,0.22,-1.181,0.155,1.313,-0.427,-0.204,-3.333,-0.033,-0.257,-0.245,-8.609,-0.002,-0.191,-0.024,-0.17,-1.891
seu-miR11045,0.286,0.591,0.002,0.068,0.012,0.401,0.143,0.311,-0.156,-0.231,-0.172,0.32,0.833,-0.001,0.154,0.214,1.853,0.017,0.157,0.005,0.159,1.028,-0.1,-5.264,-0.001,-0.029,-0.001,-0.079,-0.05,1.127,0.071,-0.929,0.214,-0.043,-1.207,-0.003,-0.088,-0.089,-5.993,0.0,-0.096,-0.002,-0.033,-1.165,-0.316,-32.988,-0.001,-0.03,-0.009,-0.496,-0.053,0.278,-0.087,-1.805,-0.252,-0.218,-4.77,-0.023,-0.173,-0.198,-12.45,-0.013,-0.184,-0.02,-0.108,-2.287
gma-miR9744,0.094,-6.571,0.0,0.075,0.002,0.072,0.028,-1.303,-0.085,-1.055,-0.037,0.039,-0.385,-0.001,0.144,0.17,-0.023,0.003,0.11,0.004,0.177,0.676,-0.085,-16.371,-0.002,-0.032,-0.002,-0.079,0.02,2.077,-0.129,0.26,0.326,-0.152,-3.036,-0.002,-0.07,-0.194,-2.965,-0.002,-0.202,-0.002,-0.146,-1.057,-0.09,-8.762,-0.001,0.084,-0.001,-0.012,0.012,-0.078,0.143,0.43,-0.03,-0.071,-1.237,-0.008,-0.102,-0.083,2.633,-0.002,-0.047,-0.002,-0.108,0.002
bdi-miR9486b,0.108,-11.741,-0.001,0.166,0.006,0.271,0.1,-0.959,0.017,-0.241,-0.134,0.139,-1.074,-0.002,0.161,0.13,4.566,0.009,0.08,0.001,0.125,1.042,-0.094,8.718,0.001,0.009,-0.001,-0.135,-0.061,-0.646,-0.038,2.436,0.255,-0.187,0.792,-0.009,-0.053,-0.144,-7.633,-0.001,-0.079,-0.007,-0.091,-1.479,-0.062,-1.028,-0.003,-0.05,-0.002,-0.176,-0.183,-1.274,-0.227,3.111,-0.367,-0.139,-0.164,0.027,-0.139,-0.046,-1.746,-0.001,0.003,0.003,-0.05,-0.378
ath-miR829-3p.1,0.198,-9.489,-0.002,0.186,0.006,0.202,0.12,-0.196,-0.02,-0.603,-0.012,0.045,-0.894,-0.002,0.132,0.162,2.066,0.01,0.087,0.002,0.14,0.847,-0.126,-9.277,0.0,0.022,0.001,-0.113,0.065,-0.112,0.05,1.266,0.011,-0.048,-1.571,0.008,-0.078,-0.118,5.637,0.001,-0.115,0.005,-0.156,0.421,-0.132,-11.595,-0.002,-0.059,-0.001,-0.168,0.055,0.367,-0.06,0.352,0.155,0.023,-1.754,-0.009,-0.032,-0.108,3.264,0.0,-0.092,-0.002,-0.123,0.158
pab-miR3695d-5p,0.0,-0.829,-0.001,0.169,0.001,0.083,0.042,-1.378,-0.06,-1.147,0.128,0.075,0.213,0.0,0.083,0.089,0.562,0.002,0.073,0.0,0.075,0.379,0.0,-15.051,-0.002,0.012,-0.003,-0.202,-0.05,-4.069,0.034,-2.105,1.75,-0.047,-2.667,-0.014,-0.202,-0.162,-5.456,-0.002,-0.165,-0.026,-0.129,-1.337,0.0,0.479,-0.001,0.012,0.006,0.009,-0.015,0.307,-0.139,-0.873,2.148,0.053,-0.15,0.014,0.009,-0.057,-3.419,0.007,-0.031,-0.007,-0.003,-0.758
nta-miR6161d,0.036,-5.251,-0.003,0.172,0.003,0.152,0.058,-1.174,-0.158,-0.507,0.207,0.139,-0.081,-0.002,0.072,0.202,0.634,0.005,0.139,0.003,0.216,0.888,-0.143,0.352,0.001,0.015,-0.002,-0.067,0.044,1.745,-0.004,-0.038,1.018,0.091,0.151,-0.001,-0.023,0.065,2.498,-0.003,0.035,0.005,0.099,0.475,-0.124,4.58,0.001,0.074,-0.006,-0.195,0.046,-0.452,0.06,-0.74,-0.715,0.037,1.37,-0.004,-0.025,0.206,8.067,-0.009,0.184,0.002,0.164,1.663
pab-miR11510,0.06,-4.395,-0.001,0.125,0.005,0.1,-0.005,-1.609,-0.156,-1.572,0.03,0.087,-0.375,0.0,0.025,0.055,-4.077,0.007,0.033,0.004,0.098,-0.324,-0.079,4.993,-0.001,0.0,0.001,-0.066,-0.111,-1.091,0.04,1.905,0.356,-0.013,0.723,-0.008,-0.079,-0.017,4.399,0.003,0.008,-0.002,-0.058,0.487,-0.067,5.011,-0.004,-0.111,0.004,-0.028,0.053,1.36,-0.225,1.231,-0.992,0.028,0.833,-0.009,0.083,0.038,5.12,0.004,0.064,0.005,0.05,0.773
pab-miR11538,0.224,-2.709,0.001,0.058,0.003,0.102,0.194,-2.459,-0.046,-0.197,-0.017,0.169,-0.33,-0.001,0.089,0.004,0.301,0.006,-0.014,0.003,-0.003,0.067,0.07,5.466,-0.002,-0.088,0.002,-0.158,0.31,1.106,0.093,0.594,0.436,0.123,1.099,0.005,-0.032,0.153,13.722,0.004,0.102,0.016,0.058,2.423,-0.015,7.718,0.002,-0.015,0.001,-0.096,0.093,-1.257,-0.021,2.118,-0.036,0.071,1.562,0.022,0.025,0.174,17.609,0.002,0.13,0.016,0.065,2.984
vca-miR10203-3p,0.169,-0.988,0.001,0.079,0.009,0.269,0.039,0.051,-0.135,-0.965,-0.326,0.112,0.41,0.001,0.159,0.166,0.766,0.012,0.12,0.011,0.202,0.656,-0.08,-12.705,0.0,-0.061,0.003,0.004,0.039,-0.673,-0.014,1.028,0.232,-0.026,-2.243,0.028,-0.143,-0.25,-3.617,0.003,-0.198,0.007,-0.223,-1.223,-0.105,-24.799,-0.001,-0.064,0.0,-0.041,0.139,0.666,0.003,-3.945,-1.966,0.1,-4.289,0.035,-0.1,-0.341,-7.519,-0.002,-0.286,0.013,-0.234,-2.078
gma-miR4359b,0.205,-15.383,0.001,0.095,0.0,-0.004,0.229,-2.638,0.092,-1.888,0.154,0.132,-1.727,-0.001,0.182,0.147,2.169,0.002,0.105,0.003,0.306,0.782,0.004,4.82,-0.001,0.022,-0.001,-0.143,-0.045,-0.983,0.028,0.078,2.201,-0.004,0.355,-0.013,-0.048,-0.064,-3.039,-0.001,-0.022,-0.014,-0.019,-0.739,-0.095,-17.149,0.001,0.041,-0.002,-0.045,-0.15,-3.684,-0.134,5.311,1.306,0.045,-3.135,-0.024,-0.125,-0.258,-13.033,-0.004,-0.225,-0.046,-0.134,-2.804
ath-miR8168,0.05,-22.267,0.0,0.05,0.001,0.089,-0.122,-2.664,0.003,-1.1,0.036,-0.03,-3.277,-0.001,0.042,-0.046,-3.614,0.002,-0.11,0.0,-0.017,-0.647,-0.058,11.859,-0.001,-0.058,-0.003,-0.111,-0.006,0.499,-0.032,1.497,-0.064,-0.143,1.418,0.023,-0.023,-0.05,-0.306,-0.006,-0.025,0.003,-0.061,-0.221,-0.062,3.141,-0.004,-0.062,-0.003,-0.05,-0.111,-0.201,-0.049,-0.483,-0.152,0.062,0.856,0.022,-0.031,0.092,4.755,-0.005,0.084,0.004,0.059,0.98
lja-miR11078g-3p,0.364,-2.492,0.004,0.062,0.004,0.118,0.136,-1.24,0.193,-0.343,-0.689,0.105,0.499,-0.002,0.169,0.333,11.902,0.008,0.242,0.006,0.306,2.663,0.147,-7.541,0.006,-0.078,-0.007,-0.245,0.095,-1.758,-0.014,-0.069,-0.032,-0.128,-0.886,0.022,-0.061,0.07,0.235,-0.009,0.04,0.002,0.082,0.294,0.009,14.14,0.002,-0.032,-0.004,-0.093,-0.05,1.613,-0.062,-0.018,-0.138,-0.134,1.968,0.021,0.086,-0.037,0.209,-0.007,0.019,0.008,-0.014,-0.034
gra-miR477,0.197,-14.783,-0.001,0.036,0.011,0.38,-0.017,-0.408,-0.134,-0.421,-0.14,0.191,-1.609,0.0,0.075,0.022,-0.408,0.016,0.012,0.002,0.03,0.068,-0.088,-2.703,-0.004,-0.018,0.005,0.17,-0.023,-1.432,0.002,-1.778,-1.445,0.035,-0.647,0.003,-0.102,-0.145,0.928,0.006,-0.102,-0.007,-0.14,-0.413,-0.012,-0.604,-0.003,-0.019,-0.002,-0.006,-0.025,1.027,-0.131,-3.471,-1.393,-0.022,-0.286,0.012,-0.05,0.0,1.792,-0.003,-0.017,0.014,0.028,0.187
bdi-miR5201-3p,0.26,-4.607,0.002,0.058,0.001,0.091,0.114,-0.861,0.16,-0.958,-0.092,0.061,0.633,0.001,0.338,0.427,12.564,0.001,0.328,0.007,0.368,3.054,-0.17,12.857,-0.004,-0.105,-0.003,-0.24,-0.015,1.056,-0.074,1.056,-0.508,0.009,2.474,0.015,0.161,0.233,15.904,-0.006,0.207,0.031,0.173,2.915,-0.18,4.574,-0.002,-0.111,0.0,-0.08,0.019,1.992,-0.071,1.483,-0.36,0.068,1.071,0.041,0.139,0.164,9.405,-0.001,0.129,0.039,0.189,1.712
nta-miR6144,0.139,1.898,-0.003,-0.028,0.007,0.18,0.089,-0.798,-0.073,-0.244,-0.8,0.147,0.7,-0.003,0.18,0.111,-1.397,0.007,0.122,-0.009,0.1,0.169,-0.076,-31.369,-0.001,-0.196,0.003,0.05,-0.14,1.272,0.006,-5.632,-1.927,-0.012,-5.556,0.0,0.003,-0.37,-22.879,0.002,-0.386,0.003,-0.184,-4.489,-0.08,-0.509,0.005,0.121,0.003,0.096,-0.037,1.029,0.3,-4.102,-2.207,0.164,-0.244,0.028,-0.037,-0.018,-2.256,0.003,-0.033,0.015,0.028,-0.517
pab-miR11408c,0.213,-3.282,0.001,0.141,0.01,0.283,0.089,0.022,-0.087,-0.224,0.466,0.05,0.449,-0.001,0.296,0.317,4.684,0.014,0.244,0.011,0.346,1.691,0.05,-2.374,-0.002,-0.073,-0.005,-0.108,-0.018,-0.412,0.024,-0.608,0.094,-0.058,-0.229,-0.018,0.035,0.048,-6.579,-0.008,0.051,-0.009,0.143,-0.729,-0.04,-4.068,0.006,-0.136,-0.018,-0.3,-0.068,0.39,-0.088,-0.211,0.294,-0.133,-0.387,0.002,-0.08,0.078,5.756,-0.024,0.031,0.014,0.034,1.142
osa-miR439i,0.155,-18.89,-0.01,0.144,0.003,0.1,0.238,-0.353,-0.257,-2.806,0.088,0.274,-2.506,0.001,0.058,0.024,-8.127,0.004,-0.017,0.011,0.166,-1.012,-0.003,16.012,0.002,-0.07,-0.005,-0.234,0.158,-4.91,0.18,7.48,-1.949,0.099,2.275,-0.008,-0.123,-0.037,5.676,-0.007,0.045,-0.047,-0.146,0.55,-0.062,7.224,-0.002,-0.043,-0.003,-0.071,0.118,-1.264,0.013,4.563,-2.005,0.08,1.031,-0.035,0.046,0.044,-1.452,-0.009,0.053,-0.047,-0.025,-0.042
mtr-miR2119,0.213,-1.401,0.001,0.047,0.002,0.141,0.105,-0.806,0.065,-0.186,0.091,0.094,0.374,0.001,0.211,0.158,6.999,0.005,0.118,0.01,0.102,1.523,-0.076,1.536,0.001,0.0,0.0,0.012,-0.111,-0.838,-0.03,-1.193,-2.222,-0.012,0.538,0.001,0.111,0.038,10.752,-0.002,0.057,0.004,0.0,1.63,-0.071,-2.168,0.0,0.0,-0.002,0.015,0.059,-0.808,-0.025,-1.966,-1.914,-0.071,-0.338,0.001,0.059,-0.004,3.55,-0.005,-0.004,0.005,0.0,0.458
gra-miR166c,0.066,-3.752,-0.001,0.172,0.005,0.211,0.094,-0.583,-0.031,-0.36,-0.279,0.144,0.272,-0.001,0.197,0.207,1.597,0.007,0.185,0.002,0.263,0.925,-0.012,-10.018,0.0,-0.096,-0.003,-0.219,-0.018,1.142,0.085,-5.807,-1.723,0.123,-1.477,0.012,-0.181,-0.037,-6.814,-0.005,-0.052,0.023,0.056,-1.204,0.077,-12.553,0.004,-0.102,-0.005,-0.406,-0.142,-0.946,0.036,-6.703,1.89,0.099,-2.218,0.002,-0.31,-0.061,-21.055,-0.007,-0.096,0.004,0.118,-3.423
bdi-miR7778-3p,0.075,-14.937,-0.001,0.048,0.008,0.238,0.048,-1.66,0.007,-3.961,-0.182,0.302,-1.564,0.0,0.095,0.152,-0.434,0.007,0.084,0.0,0.236,0.46,-0.021,-7.807,-0.001,-0.05,0.003,-0.055,-0.1,-0.78,-0.119,-1.207,0.126,0.086,-0.362,-0.017,-0.067,0.116,-0.361,0.003,0.119,-0.01,0.067,0.447,0.03,1.101,-0.005,0.09,0.0,-0.115,0.053,-0.678,0.002,6.238,-1.063,-0.068,0.184,-0.02,-0.088,0.046,0.934,0.004,0.061,-0.027,0.005,0.237
bdi-miR9494,0.061,-4.915,0.003,-0.017,0.003,0.033,0.1,-2.022,-0.071,-0.701,-0.223,0.075,-0.69,-0.003,0.061,-0.002,-4.664,0.003,-0.001,-0.007,0.047,-0.636,0.009,-9.199,-0.005,-0.082,-0.004,-0.132,-0.175,1.381,0.031,-2.108,0.215,-0.213,-1.488,0.006,-0.047,-0.098,-3.348,-0.003,-0.085,0.007,-0.114,-0.766,0.08,11.118,-0.009,0.139,0.002,-0.056,-0.009,0.96,-0.007,7.136,-1.367,-0.05,1.494,0.007,-0.05,0.077,8.295,0.007,0.046,-0.002,0.0,1.345
